seed_ID,ep_reward_pw1,ep_reward_pw2,ep_reward_pw3,ep_reward_pw4,ep_reward_pw5
1,-661.0,-188.0,-1169.1425908563765,-1323.9533414857058,-98.0
2,-25.0,-51.0,-1295.3276526583131,-1653.0,-1322.2923136165416
3,-596.0,-928.6985643375674,-923.6985643375674,-17308.812771127137,-923.6985643375674
4,-1900.9534877924275,-1620.0452421711307,-30.0,-1620.0452421711307,-66.0
5,-1110.0,-1140.152316275025,-309.8725922586427,-241.87259225864273,-233.87259225864273
6,-23.0,-199.10550991940661,-25.0,-71.0,-321.0
7,-28.0,-28.0,-544.0,-37.0,-243.25754041578898
8,-774.1607100874833,-1569.0,-1521.0,-27.0,-46.0
9,-699.0,-1122.1648719417335,-73.0,-26.0,-199.0
10,-34.0,-1343.883510390677,-224.0,-28.0,-733.0
11,-29.0,-1124.346411032057,-28.0,-40.0,-61.0
12,-26.0,-26.0,-65.0,-1839.0,-928.6719394741074
13,-529.4161891026345,-756.4722798646,-176.0,-756.4722798646,-1316.2531831957228
14,-240.09042076875966,-27.0,-924.4459039339687,-941.0,-25.0
15,-29.0,-53.0,-984.1141768418923,-53.0,-1369.123991598442
16,-645.5344065337687,-65.0,-103.0,-1455.3817201827285,-7714.030508896703
17,-1684.0,-60.0,-893.0,-93261.08695453842,-881.0520346582292
18,-711.4825190472134,-430.63795476920745,-25.0,-359.91735851980116,-711.4825190472134
19,-1048.0,-27.0,-699.0,-16583.16405613057,-642.0
20,-28.0,-1232.8065784301511,-1229.0,-509.8525510174335,-1127.4680392290043
21,-25.0,-190.42237999070528,-941.4006619987666,-46.0,-1081.822652459507
22,-24.0,-364.14581031087505,-27.0,-26.0,-843.0
23,-71.0,-30.0,-48.0,-1030.1564123291241,-1154.6179778255728
24,-1158.5156838794385,-543.0,-1155.5156838794385,-489.0,-1286.8656176414504
25,-750.1819846003095,-27.0,-629.9636760339796,-332.9636760339796,-315.9636760339796
26,-905.1696126456728,-240.0,-27.0,-25.0,-45.0
27,-28.0,-59.0,-59.0,-1147.5234830540603,-70510.61347025608
28,-27.0,-28.0,-1250.3303941381641,-27.0,-813.2799133943164
29,-26.0,-55.0,-951.4479507565375,-1307.6022203976652,-27.0
30,-138.0,-24.0,-2028.2673394405424,-24.0,-976.0
31,-272.437581020066,-1328.0,-20507.05410722129,-1071.0644624817407,-284.437581020066
32,-749.4951495766603,-26.0,-79.0,-820.0,-896.6505231792983
33,-261.0,-690.5118943291608,-10973.581607491613,-267.3789585782474,-27.0
34,-928.5927095667316,-80.0,-1201.0,-29.0,-931.5927095667316
35,-963.2249821969299,-30.0,-26.0,-963.2249821969299,-470.0
36,-884.013489772934,-942.0,-884.013489772934,-27.0,-884.013489772934
37,-41827.587203748546,-1731.1376864031488,-1765.0,-76.0,-26.0
38,-1268.6316982704425,-29.0,-881.1063757938559,-52053.41248408115,-1421.0
39,-972.5880891168551,-1344.3696550496206,-71.0,-1268.2988296437477,-29.0
40,-26.0,-121.0,-816.0,-28.0,-26.0
41,-1083.5322689752186,-1833.0,-1475.0,-821.0,-1537.0
42,-355.62171877026844,-1332.0,-271.62171877026844,-25.0,-27.0
43,-27.0,-2130.981680026965,-27.0,-122.0,-66.0
44,-23.0,-941.3300733977017,-950.0,-29.0,-1296.733630906912
45,-50.0,-1143.4231139243202,-181.0,-141.0,-27.0
46,-74.0,-936.0240341797409,-114.0,-1641.0,-962.1287995274079
47,-468.5542835020761,-261.036278437552,-970.7152074617075,-766.554283502076,-62.0
48,-23.0,-59.0,-23.0,-59.0,-38.0
49,-55.0,-55.0,-445.0,-1468.5081862721713,-515.0
50,-1307.623487230539,-1261.9893927083936,-1570.0394305905334,-1426.1891337977606,-27.0
51,-587.0,-31.0,-727.7381755426677,-57.0,-26.0
52,-396.7869243379187,-1037.7869243379187,-25.0,-25.0,-396.7869243379187
53,-34.0,-794.1985722307945,-221.1996218831065,-730.4096914798539,-27.0
54,-919.0295652648228,-1723.7080854072838,-919.0295652648228,-1560.4150071683691,-246.94439884897045
55,-59.0,-261.00388331705557,-844.8081709705863,-77224.03690988412,-32.0
56,-1258.5649986377698,-205.0,-37.0,-933.8140131836437,-832.261230625679
57,-548.0,-26.0,-1128.2444246759978,-74.0,-638.0
58,-28.0,-1085.77246131611,-1741.073158629336,-29.0,-1953.3364922059454
